Complaint ID,Product,Sub-product,Issue,Sub-issue,State,ZIP code,Submitted via,Date received,Date sent to company,Company,Company response,Timely response?,Consumer disputed?
1427131,Debt collection,Medical,Disclosure verification of debt,Not given enough info to verify debt,TX,75248,Web,06/18/2015,06/18/2015,Transworld Systems Inc.,In progress,Yes,
1427578,Debt collection,Medical,False statements or representation,Indicated committed crime not paying,NJ,08882,Web,06/18/2015,06/18/2015,Transworld Systems Inc.,In progress,Yes,
1427589,Debt collection,Payday loan,Improper contact or sharing of info,Contacted employer after asked not to,MI,48217,Web,06/18/2015,06/18/2015,"National Credit Adjusters, LLC",Closed with explanation,Yes,
1426958,Debt collection,,Cont'd attempts collect debt not owed,Debt was paid,OH,43026,Web,06/18/2015,06/18/2015,Oracle Financial Group LLC.,Closed with monetary relief,Yes,
1424985,Mortgage,FHA mortgage,"Loan modification,collection,foreclosure",,PA,15074,Web,06/17/2015,06/17/2015,"Bayview Loan Servicing, LLC",In progress,Yes,
1424982,Debt collection,"Other (phone, health club, etc.)",Cont'd attempts collect debt not owed,Debt is not mine,IL,60477,Web,06/17/2015,06/17/2015,"Convergent Resources, Inc.",Closed with explanation,Yes,
1424862,Debt collection,Medical,Cont'd attempts collect debt not owed,Debt is not mine,FL,33435,Web,06/17/2015,06/17/2015,"CMRE Financial Services, Inc.",Closed with explanation,Yes,
1425025,Mortgage,Conventional fixed mortgage,"Loan modification,collection,foreclosure",,MA,01826,Web,06/17/2015,06/17/2015,Santander Bank US,In progress,Yes,
1424988,Debt collection,"Other (phone, health club, etc.)",Cont'd attempts collect debt not owed,Debt resulted from identity theft,AL,35215,Web,06/17/2015,06/17/2015,"Convergent Resources, Inc.",Closed with explanation,Yes,
1425021,Debt collection,"Other (phone, health club, etc.)",Disclosure verification of debt,Right to dispute notice not received,LA,71107,Web,06/17/2015,06/17/2015,Stellar Recovery Inc.,Closed with explanation,Yes,Yes
1425256,Bank account or service,Checking account,"Account opening, closing, or management",,NC,28052,Web,06/17/2015,06/17/2015,Wells Fargo,Closed with explanation,Yes,
1425204,Debt collection,,Cont'd attempts collect debt not owed,Debt is not mine,SC,29115,Web,06/17/2015,06/17/2015,"Financial Credit Service, Inc.",Closed with explanation,Yes,
1425045,Debt collection,"Other (phone, health club, etc.)",False statements or representation,Attempted to collect wrong amount,NC,27284,Web,06/17/2015,06/17/2015,DataMax Corporation,Closed with explanation,Yes,
1425325,Debt collection,Medical,Cont'd attempts collect debt not owed,Debt was paid,PA,19382,Web,06/17/2015,06/17/2015,"Commonwealth Financial Systems, Inc.",Closed with explanation,Yes,
1425448,Debt collection,,Cont'd attempts collect debt not owed,Debt is not mine,SC,29732,Web,06/17/2015,06/17/2015,SCV Inc.,Closed with explanation,Yes,
1425680,Debt collection,Medical,Disclosure verification of debt,Not given enough info to verify debt,NJ,07001,Web,06/17/2015,06/17/2015,"HCFS Health Care Financial Services, Inc.",Closed with explanation,Yes,
1426220,Debt collection,"Other (phone, health club, etc.)",Cont'd attempts collect debt not owed,Debt is not mine,GA,30157,Web,06/17/2015,06/17/2015,West Corporation,In progress,Yes,
1425927,Debt collection,Non-federal student loan,Cont'd attempts collect debt not owed,Debt is not mine,OH,44134,Web,06/17/2015,06/17/2015,MOHELA,Closed with explanation,Yes,Yes
1425761,Consumer loan,Vehicle loan,Managing the loan or lease,,NJ,08203,Web,06/17/2015,06/17/2015,Ally Financial Inc.,In progress,Yes,
1425854,Debt collection,,Disclosure verification of debt,Right to dispute notice not received,VA,24102,Web,06/17/2015,06/17/2015,Transworld Systems Inc.,In progress,Yes,
1426254,Debt collection,"Other (phone, health club, etc.)",Disclosure verification of debt,Not given enough info to verify debt,TX,75075,Web,06/17/2015,06/17/2015,"Encircle Collections, Inc.",Closed with explanation,Yes,
1426674,Debt collection,,Cont'd attempts collect debt not owed,Debt is not mine,TX,76092,Web,06/17/2015,06/18/2015,"EOS Holdings, Inc.",Closed with explanation,Yes,Yes
1424860,Debt collection,Medical,Improper contact or sharing of info,Contacted employer after asked not to,FL,33435,Web,06/17/2015,06/17/2015,"Commonwealth Financial Systems, Inc.",Closed with explanation,Yes,
1426378,Debt collection,,Taking/threatening an illegal action,Threatened to sue on too old debt,GA,30023,Web,06/17/2015,06/17/2015,"H. Kent Hollins, Attorney at Law, P.A",Closed with explanation,Yes,
1425734,Debt collection,Medical,Cont'd attempts collect debt not owed,Debt is not mine,AZ,85138,Web,06/17/2015,06/17/2015,"Ability Recovery Services, LLC",Closed with explanation,Yes,Yes
1425741,Debt collection,Medical,Cont'd attempts collect debt not owed,Debt is not mine,WA,98506,Web,06/17/2015,06/17/2015,"P.S.C., Inc",Closed with explanation,Yes,
1425823,Debt collection,,Cont'd attempts collect debt not owed,Debt is not mine,CA,91403,Web,06/17/2015,06/17/2015,"NRA Group, LLC",Closed with explanation,Yes,
1425768,Debt collection,Medical,Cont'd attempts collect debt not owed,Debt was paid,IA,50023,Web,06/17/2015,06/17/2015,"RSH & Associates, LLC",Closed with explanation,Yes,Yes
1423916,Debt collection,Payday loan,Taking/threatening an illegal action,Threatened arrest/jail if do not pay,CA,91359,Web,06/16/2015,06/16/2015,"Trademark Management Solutions, LLC.",Closed with monetary relief,Yes,Yes
1422744,Debt collection,,Cont'd attempts collect debt not owed,Debt is not mine,FL,34477,Web,06/16/2015,06/16/2015,Ocwen,Closed with explanation,Yes,Yes
1423819,Debt collection,"Other (phone, health club, etc.)",Cont'd attempts collect debt not owed,Debt is not mine,NJ,07030,Web,06/16/2015,06/16/2015,Transworld Systems Inc.,In progress,Yes,
1422692,Credit reporting,,Incorrect information on credit report,Account status,,46268,Web,06/16/2015,06/16/2015,Equifax,Closed with explanation,Yes,
1422677,Credit reporting,,Incorrect information on credit report,Account status,TX,77002,Web,06/16/2015,06/16/2015,Equifax,Closed with non-monetary relief,Yes,
1423414,Debt collection,Credit card,Improper contact or sharing of info,Talked to a third party about my debt,FL,33014,Web,06/16/2015,06/16/2015,"Premium Asset Services, LLC",In progress,Yes,
1423758,Debt collection,,Improper contact or sharing of info,Contacted me after I asked not to,CA,94609,Web,06/16/2015,06/16/2015,"Financial Credit Service, Inc.",Closed with explanation,Yes,Yes
1423088,Mortgage,Conventional adjustable mortgage (ARM),"Loan modification,collection,foreclosure",,GA,30253,Web,06/16/2015,06/16/2015,"Select Portfolio Servicing, Inc",Closed with explanation,Yes,
1422885,Credit reporting,,Unable to get credit report/credit score,Problem getting my free annual report,GA,30316,Web,06/16/2015,06/16/2015,Equifax,Closed with non-monetary relief,Yes,
1423041,Credit reporting,,Incorrect information on credit report,Account terms,MA,02081,Web,06/16/2015,06/16/2015,Equifax,Closed with explanation,Yes,
1422868,Credit card,,Advertising and marketing,,MN,55425,Web,06/16/2015,06/16/2015,U.S. Bancorp,Closed with monetary relief,Yes,
1423106,Debt collection,Medical,Disclosure verification of debt,Not given enough info to verify debt,TX,75208,Web,06/16/2015,06/16/2015,"ProCollect, Inc",Closed with explanation,Yes,Yes
1423363,Debt collection,"Other (phone, health club, etc.)",Cont'd attempts collect debt not owed,Debt was paid,CA,91202,Web,06/16/2015,06/16/2015,"Enhanced Recovery Company, LLC",Closed with non-monetary relief,Yes,
1423098,Bank account or service,Checking account,Deposits and withdrawals,,PA,19115,Web,06/16/2015,06/16/2015,Wells Fargo,Closed with explanation,Yes,
1423190,Payday loan,,Charged bank acct wrong day or amt,,IL,62249,Web,06/16/2015,06/16/2015,Cottonwood Financial Ltd.,Closed with explanation,Yes,
1423328,Credit reporting,,Incorrect information on credit report,Information is not mine,WA,98059,Web,06/16/2015,06/16/2015,Equifax,In progress,Yes,
1423502,Debt collection,Medical,Cont'd attempts collect debt not owed,Debt is not mine,FL,33149,Web,06/16/2015,06/16/2015,Transworld Systems Inc.,In progress,Yes,
1422689,Credit reporting,,Improper use of my credit report,Report improperly shared by CRC,,95758,Web,06/16/2015,06/16/2015,Equifax,Closed with explanation,Yes,Yes
1423501,Debt collection,Medical,Cont'd attempts collect debt not owed,Debt was paid,TX,79912,Web,06/16/2015,06/16/2015,"Synerprise Consulting Services, Inc.",Closed with explanation,Yes,
1423427,Credit reporting,,Credit reporting company's investigation,Problem with statement of dispute,MD,20912,Web,06/16/2015,06/16/2015,Equifax,Closed with non-monetary relief,Yes,
1423688,Credit reporting,,Incorrect information on credit report,Information is not mine,CA,90045,Web,06/16/2015,06/16/2015,TransUnion,Closed with explanation,Yes,
