YEARMONTH,EPISODE_ID,EVENT_ID,LOCATION_INDEX,RANGE,AZIMUTH,LOCATION,LATITUDE,LONGITUDE,LAT2,LON2
201209,68098,408612,1,.51,"E","DELHI",42.28,-74.91,4216,7454
201209,68098,408613,1,0,"N","DOWNSVILLE",42.08,-75,4204,7500
201209,68098,408614,1,.86,"SE","LIVERPOOL",43.11,-76.21,4306,7612
201209,68098,408616,1,0,"N","LAKELAND",43.08,-76.25,4304,7615
201209,68098,408617,1,.5,"E","CANASTOTA",43.08,-75.76,4304,7545
201209,68098,408618,1,.86,"NW","UNION SPGS",42.84,-76.69,4250,7641
201209,68098,408620,1,0,"N","CAMPBELL",42.23,-77.2,4213,7712
201209,68105,408665,1,.9,"NE","PHOENIX TURF ARPT",33.64,-112.07,3338,11204
201209,68132,408815,1,2.97,"ENE","LONG LAKE",45.84,-88.61,4550,8836
201209,68133,408816,1,1.34,"NE","NORTH MICHIGAN BUOY (45002)",45.34,-86.41,4520,8624
201209,68134,408822,1,4.88,"SW","JUNCTION CITY",44.53,-89.82,4431,8949
201209,68134,408823,1,1.63,"WSW","MARSHFIELD",44.66,-90.2,4439,9012
201209,68134,408824,1,4.04,"NW","ROZELLVILLE",44.79,-90.08,4447,9004
201209,68134,408825,1,3.54,"SSW","SCHOFIELD",44.85,-89.62,4451,8937
201209,68134,408827,1,1.84,"W","SCHOFIELD",44.9,-89.64,4454,8938
201209,68134,408828,1,4.04,"NE","(CWA)CEN WI ARPT MOS",44.82,-89.61,4449,8936
201209,68134,408830,1,4.17,"N","(CWA)CEN WI ARPT MOS",44.84,-89.66,4450,8939
201209,68134,408831,1,1.2,"NW","BIG FALLS",44.63,-89.02,4437,8901
201209,68134,408832,1,.69,"S","SPENCER",44.76,-90.28,4445,9016
201209,68134,408833,1,0,"N","PLOVER",44.45,-89.53,4427,8931
201209,68134,408834,1,.69,"S","CLINTONVILLE",44.61,-88.75,4436,8845
201209,68134,408835,1,3.13,"SSW","SCHOFIELD",44.86,-89.63,4451,8937
201209,68135,408829,1,2.87,"NNW","ST STEPHENS",43.02,-108.44,4301,10826
201209,68135,408829,2,.3,"E","RIVERTON",43.03,-108.37,4301,10822
201209,68137,410038,1,8.37,"N","MEETEETSE",44.27,-108.87,4416,10852
201209,68137,410047,1,2.87,"N","DICKIE",43.89,-108.85,4353,10851
