Report No.,Report Date,Sent to Manufacturer / Importer / Private Labeler,Publication Date,Category of Submitter,Product Description,Product Category,Product Sub Category,Product Type,Product Code,Manufacturer / Importer / Private Labeler Name,Brand,Model Name or Number,Serial Number,UPC,Date Manufactured,Manufacturer Date Code,Retailer,Retailer State,Purchase Date,Purchase Date Is Estimate,Incident Description,City,State,ZIP,Location,(Primary) Victim Severity,(Primary) Victim's Gender,My Relation To The (Primary) Victim,(Primary) Victim's Age (years),Submitter Has Product,Product Was Damaged Before Incident,Damage Description,Damage Repaired,Product Was Modified Before Incident,Have You Contacted The Manufacturer,If Not Do You Plan To,Answer Explanation,Company Comments,Associated Report Numbers
20150322-B635E-2147434341,3/22/2015,4/27/2015,7/1/2015,Consumer,Jiffy PRO4 power ice drill,Home Maintenance and Structures,Tools & Hardware,"Power Drills or Accessories, Not Specified",871,FELDMANN ENGINEERING & MANUFACTURING INC,Jiffy,Jiffy Pro4,40A120114-238,,,,Wares power equipment,,1/15/2015,,Recently purchased a new Jiffy pro4 ice auger. The throttle on these units freeze and stick open. Had my cable replaced once already by dealer but it is starting to stick again. There have been videos posted online of these augers running wide open uncontrolled in an ice hole with no  way to stop it.These units are not safe to use with this current throttle cable design.,lincoln,Maine,4457,Other,"Incident, No Injury",Male,Self,42,,Yes ,,,,Yes ,,"emailed about problem ,have not heard back yet.",,
20150518-C5C84-2147432832,6/9/2015,6/17/2015,7/1/2015,Consumer,"Kenmore 1.6 cu. ft. Microwave, model number 790.80329310, serial number KG35208185, that was manufactured in December 2013. ",Kitchen,Appliances,Microwave Ovens,264,Sears Holdings Management Corporation,Kenmore,790.8032931,KG35208185,,12/1/2013,,Sears,,3/18/2014,,"On March 18, 2014, I purchased a Kenmore 1.6 cu. ft. Microwave, model number 790.80329310, serial number KG35208185, that was manufactured in December 2013. It worked flawlessly until the night of May 14, 2015. That night, while using the the Kitchen Timer function to time something in the oven below he microwave, the vent fan came on and caught my attention. When I went to turn it off, the interior light was on, the turntable was turning, and the fan would not respond to me pressing the button. Actually , no buttons would respond at all, but the timer kept going. I unplugged the unit and waited for a minute or so, thinking the unit might reset itself. I plugged it back in and everything went back on: light, turntable, and blower. When I reached to place my right hand on the front of the unit to open the door with my left hand, the keyboard side of the unit was extremely hot, especially towards the rear. I opened the door to find the microwave safe, plastic food cover, melting onto the turnable on the side facing the keyboard. I immediately unplugged the unit. I do not know if the fan that turns on during the heating process was on or not. I could only hear the vent fan, which will drown out the sound of other fan anyway. I heard a noise about a minute before the vent fan came on automatically. The noise was a bumping sound, like something in the microwave bumps when it is heating. I think the control panel shorted somewhere, the magnetron came on melting the food cover making it pop on the turntable. The microwave finally got so hot, the vent fan turned on due to heat or a short of its circuit, which is what caught my attention. I firmly believe had I not been at home, the microwave would have continued to run, catching the kitchen cabinets on fire, and eventually the the whole house. The microwave was 1 month and 28 days out of its 1-year warranty. There were no electrical surges or spikes experienced at the time.",Helena,Alabama,35080,Home/Apartment/Condominium,Unspecified,Unspecified,Unspecified,,,Yes ,,,,Yes ,Yes ,Saving the product as advised,"(6/17/2015) Sears Holdings Management Corporation: Sears Holdings takes product safety issues very seriously.  We investigate each CPSC database incident report.  We encourage our customers to provide additional information about incidents to our Customer Care Network, by calling 800-549-4505.",
20150609-32BBD-2147431233,6/9/2015,6/17/2015,7/1/2015,Consumer,"GLASHOLM Tempered glass desk - very similiar to this one: http://www.ikea.com/us/en/search/?query=glass+desk
","Furniture, Furnishings & Decorations",Furniture,"Desks, Chests, Bureaus or Buffets",604,"IKEA North America Services, LLC",Ikea,GLASHOLM Tempered glass desk,990.020.24,990.020.24,,,Ikea,,11/23/2010,,"I purchased an Ikea desk in November 2010 and have been using it daily as my work desk. It shattered /exploded on Monday June 1 2015. There was nothing on the desk, or near it that could have caused it to shatter the way it did. I found a report online of a woman who had a very similar experience as mine, except I was sitting at the desk when it occurred. Also, unlike the report and Ikea's insistence, the glass did not just shatter in safe cubes, it shattered into shards and powdered glass which was everywhere!! 
I have spoken with Ikea as well as their insurance company. I do not want anything in the form of monetary compensation, however Ikea is not accepting this is a safety hazard and the product should be recalled. It is ridiculous that a product that has the potential to do this can be deemed safe and only a quality issue instead of a safety issue. There are small children in the home and i am certain if they were in the room they would have been hurt because of the way height that the glass exploded and that it landed everywhere.

Other reports very similar if not identical to what I experienced. 
http://www.nbcdfw.com/investigations/No-Recall-on-IKEA-Glass-Desks-Following-Scant-Reports-of-Spontaneous-Shattering-189749201.html
http://www.nbcmiami.com/news/local/NBC-6-Investigation-Desks-Spontaneously-Explode-282638411.html
http://bc.ctvnews.ca/customer-upset-after-ikea-desk-explodes-1.2038583",Wheeling,Illinois,60090,Home/Apartment/Condominium,"Incident, No Injury",Female,Self,36,,Yes ,,,,Yes ,,"Contacted Ikea, they have not assured me that this product will be recalled.","(6/26/2015) IKEA North America Services, LLC: Thank you for the information. Please contact IKEA customer service at (610) 834-0180.",
20150609-931C9-2147431219,6/9/2015,6/17/2015,7/1/2015,Consumer,"Black, High-back, Office chair.","Furniture, Furnishings & Decorations",Furniture,"Chairs, Other or Not Specified",4074,"Office Depot, Inc.",Office Depot High Back Chair,CA-41472 (CN),05T-1430508,,,,Office Depot,,4/1/2012,Yes,While sitting in my chair the right arm rest snapped off of the chair and the back of the chair slightly detached. I fell on the ground as a result of the chair malfunction.,Fresno,California,93705,Home/Apartment/Condominium,"Injury, No First Aid or Medical Attention Received",Male,Self,30,,Yes ,,,,Yes ,Yes ,I still have the chair in my home. The product labeling does not specify the manufacture but only that the product was distributed by Office Depot.,,
20150609-275E4-2147431232,6/9/2015,6/17/2015,7/1/2015,Consumer,GE Halogen energy-efficient soft white 72 watt light bulb A19/67295,"Furniture, Furnishings & Decorations",Indoor Lighting,Light Bulbs,627,GE Lighting,General Electric Halogen,A19/67295 ,,4316813881,,,,,,,"I was in a small closed in room (bathroom) when one of our GE Halogen 72 watts, 100 watt replacement, A19/67295 bulbs exploded.  If I had been facing the bulb which was over the sink I probably would have lost an eye.  As it is, I was several feet away from the bulb when it exploded and I still had pieces of the bulb stuck in my shirt and in my hair.",Carrabelle,Florida,32322,Home/Apartment/Condominium,"Incident, No Injury",Male,Unspecified,65,,Yes ,,,,Yes ,Yes ,Can't find a contact link yet,,
20150609-D7F5B-2147431216,6/9/2015,6/17/2015,7/1/2015,Consumer,GE Wall double oven,Kitchen,Appliances,Electric Ranges or Ovens (Excl Counter-top Ovens),278,GE Appliances & Lighting,GE,JTP48SOF1SS,GF6 656500,,,,builder,,,,Set oven to 380.  After about 5 min of cook time we heard a large electrical zapping sound and the room filled with smoke.  The unit suffered a short/arcing event.  The broiler element melted because of the high temp arcing.  The baking element was active and the broiling element melted.  ,collierville,Tennessee,38017,Home/Apartment/Condominium,Unspecified,Unspecified,Unspecified,,,Yes ,,,,Yes ,Yes ,I want to find out what went wrong and if it can be repaired.,,
20150509-5B2AA-2147433098,5/9/2015,6/10/2015,7/1/2015,Consumer,"WubbaNub ""Little Lamb"" pacifier.  

Model number: W32351",Baby,Nursery Equipment & Supplies,Pacifiers or Teething Rings,1525,Trebco Specialty Products Inc,WubbaNub,W32351,,,,,Gift,,,,"My infant was using a ""little lamb"" WubbaNub pacifier by Mary Meyer Corp in his carseat.  When we reached our destination, I noticed small hard plastic beads on his chest and in his neck folds.  The seam of one of the lamb's legs had come unsewn, revealing the plastic beads within.  It is unclear whether he swallowed any; however, this is a serious potential choking hazard.  He is five months old, does not have any teeth, and was using the toy appropriately.  ",San Francisco,California,94131,Other,"Incident, No Injury",Male,My Child,0,,Yes ,,,,Yes ,Yes ,,"(6/23/2015) Trebco Specialty Products Inc: WubbaNub takes product safety issues very seriously. We investigate each CPSC data base incident report and, based on the results of our investigation, we take action as appropriate. We encourage our customers to provide additional information about the incidents directly to WubbaNub by sending an email to 
customerservice@wubbanub.com.",
20150601-6EE63-2147432458,6/1/2015,6/10/2015,7/1/2015,Consumer,Small Pyrex food container,Kitchen,Cookware & Tableware,Nonmetal Cookware (Nonelectric),461,"World Kitchen, LLC",Don't know,,,,,,Marshall's,,8/9/2014,,"I was making egg salad for sandwiches in a pyrex container. I was scooping out the last spoonful of salad and the container exploded in my hands. The container was not hot nor cold, it was taken out of the cupboard and was room temperature. I had been mixing the egg salad for about 10 minutes and noticed nothing unusual about the container itself. The glass went everywhere in my kitchen as well as into my hands, arms and feet. I have never had this happen before and was quite amazed that something like this could happen. ",Phoenix,Arizona,85013,Home/Apartment/Condominium,"Injury, First Aid Received by Non-Medical Professional",Female,Self,59,,Yes ,,,,Yes ,Yes ,,"(6/16/2015) World Kitchen, LLC: At World Kitchen the safety of consumers is our highest priority.  As part of our standard procedures, we follow up on reported incidents.  We encourage consumers with any concerns about our products to contact us toll-free at 800-999-3436, or e-mail us using the “contact us” link on our website--www.pyrexware.com.  The Safety & Usage Instructions for our products and other important product information is available at www.pyrexware.com.   As part of our standard procedure, whenever an injury is reported, we ask the consumer to send World Kitchen the broken dish to allow us to confirm product indentity and evaluate the breakage.",
20150602-1BDC1-2147432444,6/2/2015,6/10/2015,7/1/2015,Consumer,Fitbit is a sport and fitness device.,Electronics,"Computers, Monitors, Projectors",Computers (Equipment and Electronic Games),557,"Fitbit, Inc",Fitbit Charge,,,,,,Best Buy,,12/18/2014,Yes,"I am the owner of a Fitbit Charge.  I received this as a Christmas gift and wear it daily.  I have experienced rashes and blisters along my wrist on a number of occasions.  This only happens when I am wearing the device, and directly underneath it.  These rashes are usually about as large as a half dollar coin, very red, blistered and sometimes itchy.  They usually go away over a couple days and peels as it heals.  I am very concerned about why this is happening.  I won't be wearing this device anymore!  Fitbit needs to investigate this issue and correct it to ensure safe use for consumers.",Baltimore,Maryland,21206,Home/Apartment/Condominium,"Injury, No First Aid or Medical Attention Received",Male,Self,44,,,,,,Yes ,Yes ,I plan to contact the manufacturer.,"(6/30/2015) Fitbit, Inc: Fitbit is aware that skin irritation affects a very limited number of consumers who use wearable devices all day and all night from sweat, water, or soap being held against the skin under the device, or from pressure or friction against the skin. We encourage users to follow our wear and care instructions, available at www.fitbit.com/productcare. If any users are experiencing skin irritation we encourage them to remove the device to give their wrist a rest. If symptoms persist longer than 2-3 days after removing the device, users should contact a dermatologist/their doctor. Fitbit takes every complaint very seriously. If you have provided contact information, a Customer Support agent will contact you within 7 days. Otherwise please contact us at support@fitbit.com.",
20150602-4EC2E-2147432437,6/2/2015,6/10/2015,7/1/2015,Consumer,"McDonalds brown and white cardboard coffee cup, small,  with excessive red, white and brown writing.",Containers & Packaging,Paper & Cardboard,Cardboard Products,1114,MCDONALD'S CORPORATION,,,,,,,McDonalds #5587,,6/2/2015,,"The new McDonalds coffee cup burns when reheated in a microwave.  It put a small blister on my pinkie finger as I reached in and grabbed it.  There was a brown burn mark on the white cardboard base.  I called McDonalds and talked to a rude representative who said very sharply: ""That's why we put 'Do Not Microwave' on the cup.""  WHO READS THE CUP for crying out loud?!  I believe there are too many people like myself out there who don't drink their coffee all at once and reheat it to have this kind of product on the market.  I will add that it was not posted in an obvious location on the cup and that the cup was very busy with an excessive amount of other writing and decoration.",,Unspecified,,Unspecified,"Injury, No First Aid or Medical Attention Received",Male,Self,60,,Yes ,,,,Yes ,,"I was rudely told: ""That's why we put 'Do Not Microwave' on the cup.""",,
